[ 2013-09-06T17:46:33+08:00 ] /xnfy520_yaomai/Public/js/jqueryUi/images/ui-bg_flat_75_ffffff_40x100.png | ERR: (ThinkException) 非法操作js
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='2' ORDER BY sort,id LIMIT 4   [ RunTime:0.000534s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.002077s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='3' ORDER BY sort,id LIMIT 4   [ RunTime:0.000277s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.002364s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='4' ORDER BY sort,id LIMIT 4   [ RunTime:0.000266s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.002229s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='5' ORDER BY sort,id LIMIT 4   [ RunTime:0.000297s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_category` [ RunTime:0.001909s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_category` WHERE publish=1 ORDER BY sort,id  [ RunTime:0.000257s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.001971s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='1' ORDER BY sort,id  [ RunTime:0.000326s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002181s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='2' ORDER BY sort,id  [ RunTime:0.000294s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002560s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='3' ORDER BY sort,id  [ RunTime:0.000378s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002389s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='4' ORDER BY sort,id  [ RunTime:0.000639s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.001940s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='5' ORDER BY sort,id  [ RunTime:0.000250s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002479s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='6' ORDER BY sort,id  [ RunTime:0.000238s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_user` [ RunTime:0.003663s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_user` WHERE ( `username` = 'tianyun1' ) AND ( `email` = '182065881@qq.com' ) AND ( `id` = '42' ) AND ( `roleid` = '16' ) LIMIT 1   [ RunTime:0.000273s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_role` [ RunTime:0.026486s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_role` WHERE 1=1 AND id='16' LIMIT 1   [ RunTime:0.000231s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_integral_exchange_logs` [ RunTime:0.043105s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_integral_exchange_logs` WHERE 1=1 AND by_user='42'  [ RunTime:0.000285s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_carts` [ RunTime:0.033565s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT COUNT(*) AS tp_count FROM `xnfy520_yaomai_carts` WHERE by_user=42 LIMIT 1   [ RunTime:0.000471s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_advert_list` [ RunTime:0.021359s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_advert_list` WHERE publish=1 AND pid=9 ORDER BY sort LIMIT 1   [ RunTime:0.000245s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_system_announcement` [ RunTime:0.020580s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_system_announcement` WHERE publish=1 ORDER BY sort desc LIMIT 20   [ RunTime:0.000267s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_user` [ RunTime:0.012586s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_user` WHERE ( `username` = 'tianyun1' ) AND ( `email` = '182065881@qq.com' ) AND ( `id` = '42' ) AND ( `roleid` = '16' ) LIMIT 1   [ RunTime:0.000260s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_role` [ RunTime:0.020274s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_role` WHERE 1=1 AND id='16' LIMIT 1   [ RunTime:0.000261s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_integral_exchange_logs` [ RunTime:0.020952s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_integral_exchange_logs` WHERE 1=1 AND by_user='42'  [ RunTime:0.000225s ]
[ 2013-09-06T17:53:15+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined index: status MemberAction.class.php 第 28 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_user` [ RunTime:0.326751s ]
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_user` WHERE ( `username` = 'tianyun1' ) AND ( `email` = '182065881@qq.com' ) AND ( `id` = '42' ) AND ( `roleid` = '16' ) LIMIT 1   [ RunTime:0.000325s ]
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_role` [ RunTime:0.002077s ]
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_role` WHERE 1=1 AND id='16' LIMIT 1   [ RunTime:0.000236s ]
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_integral_exchange_logs` [ RunTime:0.001957s ]
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_integral_exchange_logs` WHERE 1=1 AND by_user='42'  [ RunTime:0.000363s ]
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_member_order` [ RunTime:0.014523s ]
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT COUNT(*) AS tp_count FROM `xnfy520_yaomai_member_order` WHERE ( `uid` = '42' ) AND ( `commodity_type` < 3 ) LIMIT 1   [ RunTime:0.000258s ]
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined index: page ajax_page.class.php 第 20 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT * FROM `xnfy520_yaomai_member_order` WHERE ( `uid` = '42' ) AND ( `commodity_type` < 3 ) ORDER BY create_date desc LIMIT 0 ,11   [ RunTime:0.000442s ]
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT COUNT(*) AS tp_count FROM `xnfy520_yaomai_member_order` WHERE ( `uid` = '42' ) AND ( `commodity_type` < 3 ) LIMIT 1   [ RunTime:0.000251s ]
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT COUNT(*) AS tp_count FROM `xnfy520_yaomai_member_order` WHERE ( `uid` = '42' ) AND ( `commodity_type` < 3 ) AND ( `pay_type` > 0 ) LIMIT 1   [ RunTime:0.000212s ]
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | SQL: SELECT COUNT(*) AS tp_count FROM `xnfy520_yaomai_member_order` WHERE ( `uid` = '42' ) AND ( `commodity_type` < 3 ) AND ( `pay_type` = 0 ) LIMIT 1   [ RunTime:0.000194s ]
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | INFO: Tag[ view_template ] --START--
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | INFO: Run LocationTemplate Behavior [ RunTime:0.000289s ]
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | INFO: Tag[ view_template ] --END-- [ RunTime:0.000339s ]
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | INFO: Tag[ view_parse ] --START--
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [2] file_get_contents(./home/Tpl/default/Index/footer-x.html) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 261 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 264 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 261 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 264 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 261 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 264 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 261 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 264 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 261 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 264 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 261 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 264 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 261 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 264 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 261 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 264 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 261 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 264 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 261 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 264 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 261 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: vo ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 264 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined index: page ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 327 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined index: page ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 327 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Use of undefined constant GROUP_NAME - assumed 'GROUP_NAME' ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 431 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: fake_action_name ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 435 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined variable: define_fake_action_value ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 437 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined index: status ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 439 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined index: page ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 443 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined index: pid ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 445 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined index: rid ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 447 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined index: sid ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 449 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined index: cid ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 451 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined index: id ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 453 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined index: category ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 455 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined index: where ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 457 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined index: price ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 459 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined index: sales ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 461 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined index: search_key ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 463 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined index: type ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 467 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined index: search ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 469 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | NOTIC: [8] Undefined index: when ae3a89e03cbd5ed87bef93fa35ae0cc5.php 第 471 行.
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | INFO: Run ParseTemplate Behavior [ RunTime:0.030113s ]
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | INFO: Tag[ view_parse ] --END-- [ RunTime:0.030152s ]
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | INFO: Tag[ view_filter ] --START--
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | INFO: Run ContentReplace Behavior [ RunTime:0.001150s ]
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | INFO: Run TokenBuild Behavior [ RunTime:0.000168s ]
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000100s ]
[ 2013-09-06T17:53:16+08:00 ] /xnfy520_yaomai/Member/commodityOrder | INFO: Run ShowRuntime Behavior [ RunTime:0.000289s ]
